"uniprotkb_canonical_ac","uniprotkb_isoform_ac","transcript_id","peptide_id","chromosome_id","start_pos","end_pos","strand"
"P51788-1","A0A1B0GVU4-1","ENST00000638134","ENSP00000490659","3","184361444","184357055","1"
"P51788-1","A0A1B0GUY6-1","ENST00000636241","ENSP00000490299","3","184361448","184354290","1"
"P51788-1","H7C0Q8-1","ENST00000430397","ENSP00000396231","3","184357020","184354290","1"
"P51788-1","A0A1B0GVW7-1","ENST00000637538","ENSP00000490682","3","184357697","184354290","1"
"P51788-1","A0A1B0GTY0-1","ENST00000475279","ENSP00000489885","3","184358049","184357055","1"
"P51788-1","P51788-1","ENST00000265593","ENSP00000265593","3","184361479","184346609","1"
"P51788-1","P51788-3","ENST00000344937","ENSP00000345056","3","184361479","184346609","1"
"P51788-1","P51788-4","ENST00000434054","ENSP00000400425","3","184361479","184346609","1"
"P51788-1","P51788-5","ENST00000457512","ENSP00000391928","3","184361479","184346609","1"
"P51788-1","A0A1B0GTJ3-1","ENST00000636419","ENSP00000489724","3","184354959","184354189","1"
"P51788-1","A0A1B0GUZ8-1","ENST00000636492","ENSP00000490313","3","184359107","184354310","1"
"P51788-1","A0A1B0GWC8-1","ENST00000636658","ENSP00000490875","3","184357696","184355496","1"
"P51788-1","A0A1B0GV52-1","ENST00000636180","ENSP00000490374","3","184361479","184357057","1"
"P23919-1","H7BZ20-1","ENST00000420144","ENSP00000387379","2","241685877","241676178","1"
"P23919-1","H7C3A4-1","ENST00000432348","ENSP00000410647","2","241686742","241682229","1"
"P23919-1","H7C312-1","ENST00000445261","ENSP00000408939","2","241686712","241676128","1"
"P23919-1","P23919-1","ENST00000305784","ENSP00000304802","2","241686783","241676130","1"
"P23919-1","G5E9E9-1","ENST00000400770","ENSP00000383581","2","241686783","241678640","1"
"Q8NHX4-1","H7C3E6-1","ENST00000423134","ENSP00000411374","2","230996389","231002798","0"
"Q8NHX4-1","H7C283-1","ENST00000440792","ENSP00000404510","2","230996336","231002796","0"
"Q8NHX4-1","F8WDD9-1","ENST00000454918","ENSP00000395644","2","230996234","231000453","0"
"Q8NHX4-1","Q8NHX4-1","ENST00000433428","ENSP00000403804","2","230996234","231002786","0"
"Q8NHX4-1","A0A2R8Y5R0-1","ENST00000645363","ENSP00000494655","2","230990324","231002786","0"
"Q8NHX9-1","Q8NHX9-1","ENST00000294309","ENSP00000294309","11","69048998","69087950","0"
"Q8NHX9-1","A0A1B0GTM1-1","ENST00000637504","ENSP00000489759","11","69048998","69085250","0"
"Q8NHX9-1","A0A1B0GUM5-1","ENST00000637342","ENSP00000490171","11","69048998","69135525","0"
"Q8NHX9-1","E7ETX0-1","ENST00000542467","ENSP00000445551","11","69048998","69087950","0"
"O94993-1","B4DXW7-1","ENST00000519442","ENSP00000427984","5","157667849","157626343","1"
"Q9NXR8-1","Q9NXR8-1","ENST00000315870","ENSP00000320566","7","120950897","120974841","0"
"Q9NXR8-1","Q9NXR8-2","ENST00000339121","ENSP00000341697","7","120950897","120956168","0"
"Q9NXR8-1","Q9NXR8-3","ENST00000427726","ENSP00000410406","7","120950897","120966637","0"
"Q9NXR8-1","E7ET07-1","ENST00000431467","ENSP00000388506","7","120951181","120974841","0"
"Q9NXR8-1","A0A0C4DG38-1","ENST00000445699","ENSP00000395719","7","120950897","120955654","0"
"P10242-1","E9PN43-1","ENST00000528015","ENSP00000434816","6","135181514","135197108","0"
"Q9GZW8-1","E9PN40-1","ENST00000530027","ENSP00000434819","11","60383142","60393813","0"
"O14817-1","E9PN41-1","ENST00000532375","ENSP00000434818","11","850305","865941","0"
"Q9C0H5-1","Q9C0H5-1","ENST00000276826","ENSP00000276826","8","144605614","144530425","1"
"Q9C0H5-1","Q9C0H5-2","ENST00000377307","ENSP00000366522","8","144605614","144530425","1"
"Q6UWY5-1","E9PN44-1","ENST00000528758","ENSP00000434813","11","7485876","7509412","0"
"Q6IQ23-1","E9PN45-1","ENST00000532079","ENSP00000434812","11","17014337","16789242","1"
"Q9C0H9-5","Q9C0H9-5","ENST00000615049","ENSP00000480869","17","38406492","38334069","1"
"Q9NXR1-2","Q9NXR1-2","ENST00000396355","ENSP00000379643","16","15664779","15724248","0"
"Q8N6H7-1","E9PN48-1","ENST00000525314","ENSP00000434809","11","47176853","47171759","1"
"Q07960-1","H0YE29-1","ENST00000528837","ENSP00000434883","11","46696099","46679217","1"
"Q07960-1","E9PNR6-1","ENST00000525488","ENSP00000432794","11","46696107","46681070","1"
"Q07960-1","Q07960-1","ENST00000311956","ENSP00000310491","11","46696107","46679040","1"
"Q9NXR5-1","S4R3R2-1","ENST00000603993","ENSP00000474638","13","110893132","110883536","1"
"Q9NXR5-1","Q9NXR5-1","ENST00000267339","ENSP00000267339","13","110914934","110879640","1"
"Q9NXR5-1","Q9NXR5-2","ENST00000310847","ENSP00000312534","13","110914934","110893153","1"
"Q9NXR5-1","Q8IUW1-1","ENST00000465753","ENSP00000431927","13","110914934","110900634","1"
"Q9NXR7-2","Q9NXR7-1","ENST00000344773","ENSP00000343412","2","27894557","28327430","0"
"Q9NXR7-2","Q9NXR7-2","ENST00000379624","ENSP00000368945","2","27894557","28338510","0"
"Q9NXR7-2","Q9NXR7-4","ENST00000361704","ENSP00000354699","2","27894557","28310121","0"
"Q96J66-1","Q96J66-1","ENST00000356608","ENSP00000349017","16","48231921","48167277","1"
"Q96J66-1","Q96J66-2","ENST00000353782","ENSP00000311326","16","48231921","48167277","1"
"Q96J66-1","H3BRJ2-1","ENST00000569991","ENSP00000456268","16","48231921","48224348","1"
"P49840-1","A0A7I2V341-1","ENST00000678354","ENSP00000503243","19","42234459","42233863","1"
"Q5JUK3-1","A0A6Q8PFI9-1","ENST00000675090","ENSP00000501833","9","135744100","135792158","0"
"O75448-1","F5H5K2-1","ENST00000535071","ENSP00000443344","17","40053360","40022394","1"
"P25705-1","K7EM08-1","ENST00000590156","ENSP00000466309","18","46098231","46095018","1"
"Q6UW68-1","K7EM09-1","ENST00000586701","ENSP00000466310","19","11345332","11342842","1"
"Q9BUZ4-1","K7EM06-1","ENST00000586813","ENSP00000466306","17","28744113","28747233","0"
"Q96IK0-1","K7EM07-1","ENST00000587529","ENSP00000466307","17","44014952","44012961","1"
"Q7Z7G2-1","K7EM04-1","ENST00000587244","ENSP00000466304","18","59318462","59276699","1"
"Q8N8Q3-1","H0YBX8-1","ENST00000521634","ENSP00000430509","17","80423520","80430127","0"
"Q8IYT4-1","K7EM02-1","ENST00000586198","ENSP00000466302","18","47069223","47077462","0"
"Q53F39-1","K7EM03-1","ENST00000592331","ENSP00000466303","18","11895253","11886722","1"
"A6NC51-1","K7EM00-1","ENST00000591570","ENSP00000466297","19","55321036","55316889","1"
"Q13829-1","K7EM01-1","ENST00000577535","ENSP00000466301","17","28340416","28342511","0"
"Q8TF47-1","J3QKQ8-1","ENST00000564323","ENSP00000463193","16","68539793","68563011","0"
"P51153-1","A0A087WWB9-1","ENST00000614713","ENSP00000480103","1","153983523","153982102","1"
"Q5H9R7-1","E9PNN8-1","ENST00000531244","ENSP00000432837","11","68537665","68551126","0"
"Q96ER3-1","H0YCN7-1","ENST00000530436","ENSP00000432044","11","18090274","18081421","1"
"P40424-1","P40424-2","ENST00000367897","ENSP00000356872","1","164559823","164821580","0"
"P40424-1","P40424-3","ENST00000627490","ENSP00000485692","1","164559823","164849399","0"
"P40424-1","H0YLF5-1","ENST00000559240","ENSP00000453188","1","164559823","164846673","0"
"P40424-1","S4R377-1","ENST00000485769","ENSP00000473998","1","164559823","164560164","0"
"P40424-1","H0YLD4-1","ENST00000482110","ENSP00000453163","1","164792544","164799887","0"
"P40424-1","F8WA05-1","ENST00000340699","ENSP00000341455","1","164559823","164792738","0"
"P40424-1","A0A0A0MTI0-1","ENST00000540236","ENSP00000439943","1","164792493","164846673","0"
"P40424-1","H0YKH1-1","ENST00000559578","ENSP00000452804","1","164563263","164799881","0"
"P40424-1","P40424-1","ENST00000420696","ENSP00000405890","1","164559823","164846673","0"
"P40424-1","H0YLM3-1","ENST00000559560","ENSP00000453262","1","164792544","164799794","0"
"P40424-1","A0A087X0P4-1","ENST00000612123","ENSP00000483563","1","164792493","164821580","0"
"P40424-1","H0YLT4-1","ENST00000558837","ENSP00000453331","1","164792544","164807569","0"
"P40424-1","H0YLB0-1","ENST00000560641","ENSP00000452727","1","164792544","164846673","0"
"P40425-1","P40425-1","ENST00000383270","ENSP00000372757","6","32147521","32143990","1"
"P40426-1","H0Y5D0-1","ENST00000428092","ENSP00000397903","9","125865271","125935531","0"
"P40426-1","P40426-1","ENST00000373489","ENSP00000362588","9","125747454","125965920","0"
"P40426-1","U3KQA2-1","ENST00000491787","ENSP00000475679","9","125748575","125929843","0"
"P40426-1","H3BLX0-1","ENST00000373482","ENSP00000362581","9","125747454","125929659","0"
"P40426-1","P40426-2","ENST00000342287","ENSP00000341990","9","125747454","125963055","0"
"P40426-1","P40426-5","ENST00000447726","ENSP00000387456","9","125748575","125965920","0"
"P40426-1","Q5JS98-1","ENST00000373487","ENSP00000362586","9","125747454","125965920","0"
"Q8N5Y2-1","A0A3B3IRT2-1","ENST00000648692","ENSP00000496974","X","11765538","11767175","0"
"Q96KP4-1","J3QKQ0-1","ENST00000582589","ENSP00000463182","18","74499974","74508856","0"
"Q17R31-1","H0YCN0-1","ENST00000527693","ENSP00000432006","1","212804619","212815021","0"
"O60309-1","J3QKQ2-1","ENST00000580464","ENSP00000463186","17","64895056","64868500","1"
"P62873-1","B3KVK2-1","ENST00000615252","ENSP00000483532","1","1804548","1787334","1"
"Q49A88-1","J3QT39-1","ENST00000409697","ENSP00000386866","3","123961173","123914782","1"
"Q9Y2D4-1","J3QT38-1","ENST00000410104","ENSP00000386698","2","72825910","72465097","1"
"P05937-1","E5RG14-1","ENST00000520613","ENSP00000430281","8","90078432","90063435","1"
"P35442-1","A0A7I2V344-1","ENST00000677429","ENSP00000503286","6","169250784","169246260","1"
"O00217-1","H0YCB2-1","ENST00000529645","ENSP00000431293","11","68032161","68032356","0"
"Q9Y691-1","E7ETM2-1","ENST00000437510","ENSP00000395807","3","178807410","178828361","0"
"Q9H165-1","A0A0J9YY13-1","ENST00000479026","ENSP00000488636","2","60460456","60460406","1"
"Q9H2I8-1","A0A087WWI0-1","ENST00000611255","ENSP00000480240","10","75431725","76557285","0"
"Q9H2I8-1","A0A087WZZ7-1","ENST00000611306","ENSP00000482991","10","76036006","76058789","0"
"Q9H2I8-1","M0R2H0-1","ENST00000496424","ENSP00000472558","10","76319210","76557285","0"
"Q9H2I8-1","Q9H2I8-1","ENST00000372499","ENSP00000361577","10","75782976","76557285","0"
"Q8NHS3-1","A0A286YEW8-1","ENST00000641690","ENSP00000492966","4","127965133","127920633","1"
"P08842-1","P08842-1","ENST00000674499","ENSP00000501360","X","7219676","7350258","0"
"P08842-1","A0A590UJL0-1","ENST00000674429","ENSP00000501534","X","7253200","7350258","0"
"P08842-1","A0A590UJT4-1","ENST00000664306","ENSP00000499549","X","7253200","7586241","0"
"P08842-1","A0A590UJY9-1","ENST00000660000","ENSP00000499642","X","7253200","7452429","0"
"P03891-1","P03891-1","ENST00000361453","ENSP00000355046","Mitochondrion","4470","5510","0"
"Q5VUR7-1","A0A087WY83-1","ENST00000614733","ENSP00000481596","9","66152854","66151728","1"
"Q5VUR7-1","Q5VUR7-1","ENST00000611388","ENSP00000482325","9","66152854","66110777","1"
"Q5VUR7-1","A0A590UJ85-1","ENST00000661307","ENSP00000499335","9","66144957","66113066","1"
"Q5VUR7-1","A0A590UJJ3-1","ENST00000621949","ENSP00000499444","9","66144957","66113054","1"
"Q15326-1","E7EV75-1","ENST00000397955","ENSP00000381046","10","180013","252467","0"
"Q9H079-1","H0YNW3-1","ENST00000560310","ENSP00000454181","15","34152939","34147232","1"
"P03897-1","P03897-1","ENST00000361227","ENSP00000355206","Mitochondrion","10059","10403","0"
"P02768-1","H0YA55-1","ENST00000511370","ENSP00000426179","4","73409340","73420297","0"
"P02768-1","H7C013-1","ENST00000441319","ENSP00000392541","4","73397114","73409457","0"
"P02768-1","D6RHD5-1","ENST00000503124","ENSP00000421027","4","73406730","73420295","0"
"P02768-1","D6RCE7-1","ENST00000476441","ENSP00000423727","4","73404328","73412000","0"
"P02768-1","P02768-1","ENST00000295897","ENSP00000295897","4","73404328","73420295","0"
"P02768-1","P02768-3","ENST00000621085","ENSP00000483421","4","73404328","73420295","0"
"P02768-1","A0A087WWT3-1","ENST00000621628","ENSP00000480485","4","73404328","73420295","0"
"P02768-1","B7WNR0-1","ENST00000401494","ENSP00000384695","4","73404328","73420295","0"
"P02768-1","A0A0C4DGB6-1","ENST00000509063","ENSP00000422784","4","73404328","73421118","0"
"P02768-1","C9JKR2-1","ENST00000415165","ENSP00000401820","4","73404328","73420295","0"
"O94916-1","A0A494C020-1","ENST00000627621","ENSP00000486610","16","69566302","69653301","0"
"Q9Y237-1","A0A494C021-1","ENST00000652108","ENSP00000498324","X","72181856","72262793","0"
"Q02338-1","C9JM78-1","ENST00000629309","ENSP00000486776","3","197539733","197515667","1"
"P35749-1","A0A494C024-1","ENST00000652121","ENSP00000498314","16","15838252","15750469","1"
"P02760-1","P02760-1","ENST00000265132","ENSP00000265132","9","114078209","114060242","1"
"P02760-1","S4R471-1","ENST00000466610","ENSP00000475149","9","114074969","114060992","1"
"P02760-1","S4R3Y4-1","ENST00000603230","ENSP00000474859","9","114078209","114069749","1"
"Q6UXI7-1","B5MD45-1","ENST00000404084","ENSP00000384154","2","36716371","36814358","0"
"P02765-1","C9JV77-1","ENST00000273784","ENSP00000273784","3","186613142","186620927","0"
"P02765-1","P02765-1","ENST00000411641","ENSP00000393887","3","186613142","186620927","0"
"Q9BUG6-1","A0A0C4DGQ1-1","ENST00000592355","ENSP00000467238","19","56225046","56221578","1"
"Q96MH6-1","E5RGT2-1","ENST00000519784","ENSP00000428688","8","55756394","55740135","1"
"P02766-1","A0A087WV45-1","ENST00000676075","ENSP00000502027","18","31591903","31591971","0"
"P02766-1","P02766-1","ENST00000237014","ENSP00000237014","18","31591903","31598672","0"
"P02766-1","A0A087WT59-1","ENST00000610404","ENSP00000477599","18","31592923","31598672","0"
"Q9Y2J2-1","A0A0J9YY18-1","ENST00000578524","ENSP00000488647","18","5419813","5396201","1"
"P04792-1","A0A6Q8PGY2-1","ENST00000675538","ENSP00000502495","7","76302713","76304042","0"
"P43630-1","A0A1W2PPV3-1","ENST00000638389","ENSP00000491364","19","54816006","54832284","0"
"Q9Y2H2-1","A0A3B3IRT4-1","ENST00000648515","ENSP00000496989","10","119726304","119759870","0"
"Q9H6T0-1","J3QQJ9-1","ENST00000564382","ENSP00000463770","16","68234056","68233358","1"
"O95208-1","J3QQJ8-1","ENST00000580579","ENSP00000463769","17","19312074","19313141","0"
"Q4G0P3-1","J3QQJ7-1","ENST00000393552","ENSP00000463767","16","71129720","70988509","1"
"P43146-1","J3QQJ6-1","ENST00000578949","ENSP00000463766","18","53063355","53157435","0"
"Q9Y2L5-1","J3QQJ5-1","ENST00000582539","ENSP00000463764","18","31931518","31830758","1"
"O75976-1","J3QQJ4-1","ENST00000584221","ENSP00000463763","17","30443802","30466295","0"
"Q9Y2T1-1","J3QQJ3-1","ENST00000580513","ENSP00000463761","17","65558620","65558045","1"
"Q8NDL9-1","C9JTY1-1","ENST00000451003","ENSP00000407584","2","27052959","27053156","0"
"P49640-1","J3QQJ1-1","ENST00000580535","ENSP00000463759","7","27243368","27245278","0"
"Q9UHR5-1","J3QQJ0-1","ENST00000583536","ENSP00000463758","17","75667426","75706520","0"
"Q9P2J3-1","Q9P2J3-1","ENST00000359039","ENSP00000351933","9","21334859","21333009","1"
"P18848-1","A0A6Q8PGY1-1","ENST00000676346","ENSP00000502400","22","39521446","39522599","0"
"Q05586-1","A2AVK2-1","ENST00000350902","ENSP00000316915","9","137139487","137158432","0"
"P61247-1","D6R9B6-1","ENST00000509736","ENSP00000422994","4","151102874","151104590","0"
"Q8TA94-1","A0A0C4DGQ9-1","ENST00000595977","ENSP00000469879","19","12333482","12319220","1"
"P49848-1","C9JTY6-1","ENST00000493322","ENSP00000419555","7","100114209","100111955","1"
"P13804-1","H0YL12-1","ENST00000560345","ENSP00000453017","15","76292698","76274419","1"
"P35670-1","F5H562-1","ENST00000400370","ENSP00000383221","13","52011337","51934759","1"
"Q5ZPR3-1","H0YL10-1","ENST00000561176","ENSP00000453014","15","73703909","73712955","0"
"P39023-1","F8WCR1-1","ENST00000420536","ENSP00000416273","22","39319597","39316847","1"
"P39023-1","B5MCW2-1","ENST00000402527","ENSP00000385762","22","39318439","39313709","1"
"P39023-1","H7C3M2-1","ENST00000427905","ENSP00000412713","22","39319595","39315369","1"
"P39023-1","H7C422-1","ENST00000453303","ENSP00000415198","22","39319111","39314701","1"
"P39023-1","P39023-1","ENST00000216146","ENSP00000346001","22","39319597","39312943","1"
"P39023-1","G5E9G0-1","ENST00000401609","ENSP00000386101","22","39318439","39312943","1"
"Q9NQU5-1","H0YL16-1","ENST00000560669","ENSP00000453021","15","40264786","40266489","0"
"Q9H2J7-1","A0A7P0TBL2-1","ENST00000680379","ENSP00000506716","12","84892120","84861635","1"
"H0YL14-1","H3BQM9-1","ENST00000447934","ENSP00000455849","9","136116900","136116787","1"
"H0YL14-1","H0YL14-1","ENST00000561457","ENSP00000452750","9","136116900","136116484","1"
"H0YL14-1","H3BVA3-1","ENST00000448040","ENSP00000458020","9","136116900","136116805","1"
"P10914-1","A0A7P0TBL0-1","ENST00000681715","ENSP00000506545","5","132486686","132485672","1"
"Q5VIY5-1","M0QYE7-1","ENST00000597924","ENSP00000469779","19","52854272","52841937","1"
"Q96P71-1","U3KQJ7-1","ENST00000488489","ENSP00000475938","20","33674352","33670774","1"
"P55769-1","A0A3B3IUA2-1","ENST00000648350","ENSP00000498157","22","41690449","41674936","1"
"O00591-1","E5RI57-1","ENST00000519598","ENSP00000430772","5","170788616","170810009","0"
"Q70YC5-1","C9J1G1-1","ENST00000421210","ENSP00000392791","10","62376194","62376352","0"
"Q9HBL0-1","C9JZT0-1","ENST00000449814","ENSP00000393925","2","217897965","217897894","1"
"O14514-1","E5RG74-1","ENST00000521208","ENSP00000427783","8","142464199","142533459","0"
"O43399-1","A0A087WYR3-1","ENST00000615907","ENSP00000482024","20","63865366","63890039","0"
"O43399-1","O43399-1","ENST00000346249","ENSP00000343547","20","63865366","63889942","0"
"O43399-1","A0A087WZ51-1","ENST00000611972","ENSP00000482370","20","63865366","63889942","0"
"O43399-1","O43399-2","ENST00000348257","ENSP00000343554","20","63865366","63889942","0"
"O43399-1","O43399-3","ENST00000351424","ENSP00000340006","20","63865366","63889942","0"
"O43399-1","O43399-4","ENST00000358548","ENSP00000351350","20","63865366","63889942","0"
"O43399-1","O43399-5","ENST00000352482","ENSP00000344647","20","63865366","63889942","0"
"O43399-1","O43399-6","ENST00000369927","ENSP00000358943","20","63865366","63889942","0"
"O43399-1","O43399-7","ENST00000217121","ENSP00000217121","20","63865366","63889942","0"
"Q9P219-1","G3V3S0-1","ENST00000553403","ENSP00000451392","14","91417690","91379868","1"
"Q9P219-1","Q0P665-1","ENST00000389856","ENSP00000374506","14","91417196","91379868","1"
"Q9P219-1","A0A0A0MR69-1","ENST00000331194","ENSP00000330332","14","91285407","91272628","1"
"Q9P219-1","Q9P219-1","ENST00000389857","ENSP00000374507","14","91417690","91272628","1"
"Q9P219-1","H0YJX5-1","ENST00000556726","ENSP00000452406","14","91289331","91285671","1"
"Q9P218-1","Q9P218-2","ENST00000422202","ENSP00000414753","20","63295108","63329655","0"
"Q9P218-1","B7ZBI5-1","ENST00000455906","ENSP00000406345","20","63320099","63328479","0"
"Q9P218-1","Q9P218-1","ENST00000358894","ENSP00000351767","20","63295108","63329655","0"
"Q9P218-1","B7ZBI4-1","ENST00000415763","ENSP00000410799","20","63319086","63328497","0"
"P36402-1","E5RG75-1","ENST00000521639","ENSP00000427782","5","134115938","134142751","0"
"Q9P215-1","Q5TIJ2-1","ENST00000449930","ENSP00000404402","1","166840957","166849206","0"
"Q9P215-1","Q9P215-1","ENST00000367875","ENSP00000356849","1","166840957","166850406","0"
"Q13428-1","A0A2R8Y857-1","ENST00000646961","ENSP00000496754","5","150357747","150375010","0"
"Q9P217-1","Q9P217-1","ENST00000359600","ENSP00000352614","1","45206350","45018457","1"
"P06744-1","A0A2R8YF08-1","ENST00000642240","ENSP00000496041","19","34364910","34368618","0"
"Q9P212-1","Q9P212-1","ENST00000371380","ENSP00000360431","10","94031047","94325077","0"
"Q9P212-1","Q9P212-2","ENST00000371375","ENSP00000360426","10","94089095","94325077","0"
"Q9P212-1","A0A7I2PPM5-1","ENST00000371385","ENSP00000360438","10","94089095","94325077","0"
"Q9P212-1","A0A6Q8PFG0-1","ENST00000674738","ENSP00000501802","10","94171283","94282860","0"
"Q9P212-1","A0A6Q8PGT4-1","ENST00000675487","ENSP00000502340","10","94031047","94265657","0"
"Q9P212-1","A0A6Q8PH04-1","ENST00000674827","ENSP00000502523","10","94227420","94322026","0"
"Q9P212-1","A0A6Q8PHN3-1","ENST00000676102","ENSP00000502811","10","94089095","94298476","0"
"Q9P212-1","A0A6Q8PHP9-1","ENST00000675718","ENSP00000502763","10","94031976","94254017","0"
"Q5JVL4-1","A0A1B0GTW5-1","ENST00000635866","ENSP00000489866","6","52420411","52429974","0"
"Q969W1-1","H0Y536-1","ENST00000417044","ENSP00000396286","10","97451851","97456889","0"
"P09466-1","H0Y530-1","ENST00000457014","ENSP00000396196","9","135565432","135565800","0"
"Q13228-1","H0Y532-1","ENST00000424475","ENSP00000396209","1","151369841","151365574","1"
"Q9H3M7-1","Q9H3M7-1","ENST00000582401","ENSP00000462521","1","145996266","145993854","1"
"Q9H3M7-1","Q9H3M7-2","ENST00000425134","ENSP00000396322","1","145995561","145993854","1"
"Q9H3M0-1","Q9H3M0-1","ENST00000295082","ENSP00000295082","2","10912427","10913908","0"
"Q5VVP1-1","Q5VVP1-1","ENST00000332857","ENSP00000329825","9","42183688","42189731","0"
"O60603-1","O60603-1","ENST00000642580","ENSP00000495339","4","153702908","153705259","0"
"O60603-1","A0A0S2Z4L7-1","ENST00000643087","ENSP00000494668","4","153702908","153705259","0"
"O60603-1","A0A2R8Y4N9-1","ENST00000646900","ENSP00000493968","4","153702908","153703645","0"
"O60603-1","A0A2R8Y7R7-1","ENST00000643501","ENSP00000496208","4","153702908","153703003","0"
"O60603-1","A0A2R8YHF6-1","ENST00000646219","ENSP00000496676","4","153702908","153702961","0"
"P35611-1","E7ENY0-1","ENST00000503455","ENSP00000423024","4","2875916","2926675","0"
"Q9GZM5-1","D6RFI3-1","ENST00000503972","ENSP00000421461","6","43516807","43512456","1"
"Q92844-1","E7ENY2-1","ENST00000429217","ENSP00000411041","2","161179663","161231017","0"
"Q9BZG2-1","Q9BZG2-1","ENST00000270593","ENSP00000270593","19","50790415","50795155","0"
"Q6NXP0-1","D6RFI2-1","ENST00000503957","ENSP00000421462","3","129428475","129411269","1"
"Q9BZG8-1","K7EQQ6-1","ENST00000570833","ENSP00000467936","17","2033820","2036430","0"
"Q9BZG8-1","A0A0A0MTR4-1","ENST00000575667","ENSP00000460431","17","2030159","2040221","0"
"Q9BZG8-1","Q9BZG8-1","ENST00000674200","ENSP00000501368","17","2030155","2041854","0"
"Q9BZG8-1","I3L3X9-1","ENST00000571710","ENSP00000460813","17","2040340","2041855","0"
"Q9BZG8-1","I3L1H5-1","ENST00000571418","ENSP00000458838","17","2030170","2041854","0"
